"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc","gdp_cf","gdp_cf_lower","gdp_cf_upper","cs_cf","cs_cf_lower","cs_cf_upper"
"1","Albania",2020,"Europe and central Asia",15931250.1843679,22447386.982623,22447386.982623,22447386.982623,17.519504887527,37682192114,219599622319.98,0.516049904761905,23.4764334077738,4.47560164290697,1044.568617,2872130,134274174.682633,44976350620.4901,44976350620.4901,44976350620.4901,219599622319.98,219599622319.98,219599622319.98
"2","Albania",2021,"Europe and central Asia",16029813.5654678,22564347.330453,22563700.6032446,22565423.8668557,17.519504887527,41039298609.4363,215221374693.12,0.516049904761905,25.7363117809516,4.46654244319921,1052.49348469236,2861567,134522459.845154,49101809308.4281,49101083051.0357,49103018207.7325,216522799319.765,216522799319.765,216522799319.765
"3","Albania",2022,"Europe and central Asia",16096015.6904284,22640359.2459474,22639403.3350687,22641850.8191914,17.519504887527,43027242234.0774,211650187884.151,0.516049904761905,27.1445687334821,4.45750158048963,1060.47847627407,2847853,134620417.292034,51622760321.3226,51621620700.0899,51624540051.171,214322620904.359,214322493667.659,214322832697.531
"4","Albania",2023,"Europe and central Asia",16157539.0275157,22718387.6952395,22717302.8903434,22720015.859751,17.519504887527,44579234861.4606,208605838296.111,0.516049904761905,28.2658565034557,4.44847901766181,1068.52404788928,2836789,134841284.634462,53649866940.1063,53648505785.2547,53651913717.1572,212674126707.298,212673806176.436,212674639710.67
"5","Albania",2024,"Europe and central Asia",16219218.3239189,22801740.1672743,22800611.5082021,22803404.1272578,17.519504887527,46063723382.3472,205985607611.681,0.516049904761905,29.3286013226605,4.43947471767438,1076.63065914279,2828089,135173451.359067,55618404787.6496,55616914950.4385,55620606954.5325,211463234958.109,211462691986.199,211464080896.518
"6","Albania",2025,"Europe and central Asia",16311187.1995204,22925488.1797856,22924342.0790666,22927174.5565869,17.519504887527,47643248457.1279,203756463500.444,0.516049904761905,30.4055831004881,4.430488643561,1084.79877312629,2823951,135724412.299115,57715372121.2872,57713780129.3828,57717720681.8234,210657824074.758,210657047239.341,210659013524.981
"7","Albania",2026,"Europe and central Asia",16412936.3482392,23057449.6091818,23056288.7018501,23059164.9499197,17.519504887527,49287416961.3834,201915501567.445,0.516049904761905,31.4921222293436,4.42152075843015,1093.02885644486,2819302,136252630.457569,59900342360.5546,59898645793.5906,59902854487.4497,210260158555.709,210259141652.964,210261699989.599
"8","Albania",2027,"Europe and central Asia",16488048.4003318,23161077.5526393,23159905.4723732,23162815.834426,17.519504887527,50995718833.2649,200454637912.558,0.516049904761905,32.6213882899932,4.41257102546492,1101.32137924354,2814087,136755026.753954,62192773316.5628,62190968303.8637,62195454654.0141,210265264821.679,210264001533.938,210267169296.069
"9","Albania",2028,"Europe and central Asia",16569680.4508361,23269104.3727218,23267927.0625994,23270855.1918504,17.519504887527,52680331137.6644,199366103470.354,0.516049904761905,33.7019315736791,4.40363940792299,1109.67681523428,2808134,137222740.891948,64467549626.0669,64465641816.9288,64470390292.166,210671826345.075,210670309992.433,210674105352.791
"10","Albania",2029,"Europe and central Asia",16632462.0688602,23356054.6620045,23354877.1122647,23357809.6561333,17.519504887527,54420593576.6451,198627131485.264,0.516049904761905,34.8098776230865,4.39472586913638,1118.09564172293,2801409,137653501.912673,66835364185.2609,66833353783.5832,66838363087.8436,211456671280.226,211454896506.502,211459334008.192
"11","Albania",2030,"Europe and central Asia",16714896.5877286,23460114.1188843,23458938.4541693,23461868.7631442,17.519504887527,56218344518.2818,198229993462.483,0.516049904761905,35.9029296692966,4.38583037251135,1126.57833963655,2793790,138040647.020672,69275607977.5128,69273495032.5591,69278763475.3533,212617178823.244,212615140575.785,212620233807.696
"12","Albania",2031,"Europe and central Asia",16797424.6808242,23562006.1826489,23560833.1331839,23563758.9570796,17.519504887527,58075483060.0115,198167669404.926,0.516049904761905,37.0004428497738,4.3769528815282,1135.12539355087,2785407,138389892.935997,71801869393.3113,71799650389.7859,71805186390.8387,214147247445.467,214144940932.887,214150702508.296
"13","Albania",2032,"Europe and central Asia",16851366.033277,23633189.9723658,23632022.3136049,23634935.6125086,17.519504887527,59993971034.7907,198433823027.833,0.516049904761905,38.134763198899,4.36809335974115,1143.73729171795,2776087,138691953.711749,74435278403.5366,74432950352.1602,74438759845.2175,216043462314.948,216040882369.566,216047325746.178
"14","Albania",2033,"Europe and central Asia",16915130.1970807,23708652.0326776,23707570.3338585,23710256.8902691,17.519504887527,61975835083.5248,199022778564.103,0.516049904761905,39.2614653798514,4.35925177077828,1152.41452609411,2765827,138945884.717132,77148710283.1685,77146404905.9217,77152137231.9806,218306279580.761,218303420769.574,218310559771.776
"15","Albania",2034,"Europe and central Asia",16934778.3831683,23724832.2361756,23723825.5549626,23726290.6089967,17.519504887527,64023168795.9587,199929499092.442,0.516049904761905,40.445084079336,4.35042807834119,1161.157592368,2754650,139152042.579046,79963736205.3834,79961438788.9433,79967090176.8005,220931380301.511,220928260540.203,220936046867.44
