"","location","region","gdp_sq","gdp_sq002","gdp_sq003","gdp_sq005","gdp_dif","gdp_dif_lower","gdp_dif_upper","gdp_dif002","gdp_dif002_lower","gdp_dif002_upper","gdp_dif003","gdp_dif003_lower","gdp_dif003_upper","gdp_dif005","gdp_dif005_lower","gdp_dif005_upper","gdp_dif_prop","gdp_dif_prop_lower","gdp_dif_prop_upper","gdp_dif_prop002","gdp_dif_prop002_lower","gdp_dif_prop002_upper","gdp_dif_prop003","gdp_dif_prop003_lower","gdp_dif_prop003_upper","gdp_dif_prop005","gdp_dif_prop005_lower","gdp_dif_prop005_upper","pop","gdp_dif_perc","gdp_dif_perc_lower","gdp_dif_perc_upper","gdp_dif_perc002","gdp_dif_perc002_lower","gdp_dif_perc002_upper","gdp_dif_perc003","gdp_dif_perc003_lower","gdp_dif_perc003_upper","gdp_dif_perc005","gdp_dif_perc005_lower","gdp_dif_perc005_upper"
"1","Albania","Europe and central Asia",2133218884390.95,1498548485101.85,1273569325299.09,944871060888.784,563176188457.844,563097277677.983,563293298493.275,386038466937.022,385984216144.596,386119028778.788,323988332922.912,323942781534.306,324056004121.161,234397326374.528,234364417197.11,234446266654.181,0.264003001557262,0.263966010144689,0.264057899831549,0.257608259442326,0.257572057215327,0.25766201935905,0.254393951304398,0.254358184591349,0.254447086376753,0.248073346805695,0.248038517527098,0.248125142528602,2711731,207681.436122478,207652.336340877,207724.622572547,142358.687840727,142338.681876851,142388.396481357,119476.575266098,119459.777365198,119501.530248082,86438.2663230711,86426.13046689,86456.3139390231
"2","Algeria","Middle East and north Africa",20365787391173,14651716983332.6,12600338117080.1,9565825173305.34,2350075770774.24,2349188327603.16,2351206946655.01,1637400174361.97,1636777769646.11,1638192856647.64,1384935973367.43,1384408509449.37,1385607456699.12,1016528999740.16,1016141514550.94,1017021869521.45,0.11539331751017,0.115349742314474,0.115448860458696,0.111754832298811,0.111712352313935,0.111808933963931,0.109912603971326,0.109870742878936,0.109965894869193,0.106266734058334,0.106226226816962,0.106318258079771,51933064.8709677,45252.0138492348,45234.9256382216,45273.7952689061,31529.049526159,31517.064777764,31544.3130637076,26667.7111548958,26657.5545442784,26680.6409392895,19573.8303191968,19566.3690767266,19583.3208005022
"3","Argentina","Latin America and Caribbean",31707806206496,23595824834372.9,20621292314741.6,16131330952622,4410882398147.06,4410683789915.96,4411107457567.22,3260601545893.49,3260457324946.41,3260764418373.52,2840138215180.05,2840013806992.8,2840278467865.61,2207450842621.58,2207356133552.34,2207557239962.39,0.139110298877864,0.139104035176434,0.139117396796235,0.138185529379912,0.138179417241511,0.138192431977349,0.137728430004831,0.137722397008191,0.137735231357696,0.136842449584904,0.136836578459359,0.136849045280022,48584672.2258065,90787.5302244841,90783.442346106,90792.1625377189,67111.7329090793,67108.7644636731,67115.0852519597,58457.4946184667,58454.9339716299,58460.3813866414,45435.1288480868,45433.1794870043,45437.3187844584
"4","Armenia","Europe and central Asia",2899472920432.81,1985561497444.34,1665675621996.81,1204140714314.8,409408934828.192,409377274073.49,409443946404.829,273278599986.317,273258032903.158,273301339107.411,226181483692.602,226164723691.286,226200009812.579,159021694633.274,159010316413.843,159034263573.76,0.14120115830124,0.141190238814985,0.141213233453379,0.137632906529493,0.137622548208592,0.137644358766617,0.135789634371581,0.135779572387666,0.135800756657176,0.132062385020976,0.132052935776967,0.132072823120391,2714235.41935484,150837.665704586,150826.000999868,150850.564945524,100683.455104006,100675.877617171,100691.832830173,83331.5644176378,83325.3895658926,83338.3899567362,58588.0257472554,58583.833693998,58592.6564953462
"5","Australia","East Asia and Pacific",58403910290422.2,41556665800603.2,35548490125840.9,26717808589137.9,25850321552304.2,25849785612009.9,25850879624156.3,18044557252248.9,18044190238232.2,18044937654321.7,15284386744918.6,15284078911207.5,15284705015793.5,11262184896450.2,11261962522666.5,11262413616868.9,0.442612856292663,0.442603679847256,0.442622411677727,0.434215712560534,0.434206880908388,0.434224866376546,0.429958816557671,0.429950157013763,0.429967769705154,0.421523526485208,0.421515203430458,0.421532087083206,29069794.2258065,889250.242072775,889231.805743638,889269.4397268,620732.197554738,620719.572284196,620745.283373985,525782.419586238,525771.830116333,525793.368094247,387418.803482698,387411.153831587,387426.671457852
"6","Austria","Europe and central Asia",19937014902526,14301159137302.2,12282629708610.6,9303368171252.04,10197829954177.5,10197572034823.7,10198108477982.9,7168214158461.06,7168034367693.42,7168407717239.67,6092608199965.99,6092456128538.96,6092771651116.83,4519107329633.53,4518995776088.05,4519226828216.38,0.511502348974291,0.511489412265608,0.511516319160237,0.501233088146258,0.501220516384353,0.501246622628096,0.49603450926269,0.496022128247334,0.496047816767248,0.485749595893436,0.485737605231191,0.485762440551483,9012036.22580645,1131578.89057031,1131550.27113877,1131609.79632772,795404.498922729,795384.548851165,795425.976730159,676052.342368474,676035.46811018,676070.479351809,501452.415015024,501440.03673084,501465.674902119
"7","Bahrain","Middle East and north Africa",3601992190899.16,2542705663554.98,2166377184792.79,1615346846131.65,256976413058.559,256922766270.39,257049673673.78,172200262749.126,172163937116.232,172249908594.947,142791767799.535,142761516560.523,142833129114.195,100751195959.46,100729717943.259,100780587417.03,0.0713428567968134,0.0713279631531502,0.0713631957124296,0.0677232387599166,0.0677089525476291,0.0677427635702525,0.065912699229794,0.0658987352537956,0.0659317916182065,0.0623712462748999,0.0623579500492302,0.0623894414121489,1630604.06451613,157595.837426552,157562.937479019,157640.765939129,105605.196562677,105582.919154148,105635.642853657,87569.8588681658,87551.3067011068,87595.2245075384,61787.6516757961,61774.4798601062,61805.6765649826
"8","Bangladesh","South Asia",96306298170048.8,64182352749865.6,53088935322694.1,37297111061753.8,7967814761744.27,7962933556326.03,7973687256994.99,5165937867032.81,5162785551267.03,5169736667905.33,4209703457511.61,4207142649978.52,4212792013412.35,2864744689674.21,2863017542064.5,2866831196274.33,0.0827340985287944,0.0826834143522557,0.0827950757998795,0.0804884465230768,0.080439331530704,0.0805476341456828,0.0792953076177452,0.0792470714359962,0.0793534846348952,0.0768087556414484,0.0767624478293809,0.0768646984890504,188521669,42264.7157963803,42238.823783838,42295.866036466,27402.3558906261,27385.6346522533,27422.5063640049,22330.0773849589,22316.4937606113,22346.4604135896,15195.837724491,15186.6761908654,15206.9054527325
"9","Barbados","Latin America and Caribbean",160014525069.219,116606382713.319,100891238459.901,77457024846.867,18214740093.3315,18213484143.7893,18216134644.2161,13161635900.219,13160734388.9014,13162633840.4226,11340575199.9408,11339801563.1494,11341430253.7997,8637058462.20857,8636474844.37162,8637701501.3264,0.113831791741732,0.113823942769636,0.113840506893585,0.112872345355034,0.112864614120288,0.112880903550395,0.112403964636117,0.112396296608614,0.112412439642193,0.1115077487069,0.111500213976021,0.111516050589384,279240.419354839,65229.5972603647,65225.0995248825,65234.591347137,47133.7062543733,47130.4778130191,47137.2800214014,40612.2266473536,40609.456143022,40615.2887178837,30930.5453779354,30928.4553587387,30932.8481932632
"10","Belgium","Europe and central Asia",23590570095776,17003396809125.7,14638008755088.6,11137918785014.7,12929928772879.5,12929677081161.8,12930211939733.5,9238877214440.88,9238699617037.16,9239076057840.88,7917153949490.75,7917002782632.37,7917322761131.87,5967276880351.38,5967164557863.32,5967401629734.53,0.548097342301815,0.54808667313542,0.548109345693545,0.543354796582903,0.543344351763805,0.54336649091682,0.54086276910707,0.540852442097371,0.540874301525443,0.535762290561854,0.535752205869173,0.535773490983186,11921449.9354839,1084593.63943591,1084572.52692703,1084617.39215521,774979.324196262,774964.426897302,774996.003660679,664109.985977925,664097.305736914,664124.146305908,500549.590246563,500540.168365108,500560.054525977
