"","location","region","gdp_sq","gdp_sq002","gdp_sq003","gdp_sq005","gdp_dif","gdp_dif_lower","gdp_dif_upper","gdp_dif002","gdp_dif002_lower","gdp_dif002_upper","gdp_dif003","gdp_dif003_lower","gdp_dif003_upper","gdp_dif005","gdp_dif005_lower","gdp_dif005_upper","gdp_dif_prop","gdp_dif_prop_lower","gdp_dif_prop_upper","gdp_dif_prop002","gdp_dif_prop002_lower","gdp_dif_prop002_upper","gdp_dif_prop003","gdp_dif_prop003_lower","gdp_dif_prop003_upper","gdp_dif_prop005","gdp_dif_prop005_lower","gdp_dif_prop005_upper","pop","gdp_dif_perc","gdp_dif_perc_lower","gdp_dif_perc_upper","gdp_dif_perc002","gdp_dif_perc002_lower","gdp_dif_perc002_upper","gdp_dif_perc003","gdp_dif_perc003_lower","gdp_dif_perc003_upper","gdp_dif_perc005","gdp_dif_perc005_lower","gdp_dif_perc005_upper"
"1","Albania","Europe and central Asia",2133218884390.95,1498548485101.85,1273569325299.09,944871060888.784,1367486755.00178,1282244543.4904,1494002258.62679,901259349.392288,842327585.023078,988782508.601654,739748201.850671,690123896.208124,813480428.774607,509384360.595227,473323649.436895,563021523.841144,0.000641043807087901,0.000601084376700748,0.00070035113112799,0.000601421547819344,0.000562095650155643,0.000659826838058196,0.000580846434627299,0.000541881688337659,0.000638740595125095,0.000539104626737197,0.000500939936705933,0.000595871275083336,2711731,504.285548604113,472.850936722853,550.940435694687,332.355734913341,310.623577715886,364.631487637105,272.795569269471,254.495706324899,299.98566553047,187.844723755869,174.546682335709,207.624400739286
"2","Algeria","Middle East and north Africa",20365787391173,14651716983332.6,12600338117080.1,9565825173305.34,12505004476.4257,11593804703.9219,13666454325.0448,8304669779.19783,7664371603.85366,9120129117.51527,6844730202.3898,6301573616.34939,7536178623.01006,4754978281.43485,4355191430.11222,5263483478.27661,0.000614020181799878,0.000569278490501522,0.000671049641369042,0.000566805227581518,0.000523103989284836,0.000622461458127405,0.000543217978659762,0.000500111469850752,0.00059809336487523,0.000497079780916781,0.000455286538401929,0.000550238310121435,51933064.8709677,240.790804615431,223.245147050877,263.155166347303,159.911027778382,147.58173088564,175.613150122663,131.799080593378,121.340298940689,145.113303860159,91.5597470176084,83.8616292131627,101.351296931044
"3","Argentina","Latin America and Caribbean",31707806206496,23595824834372.9,20621292314741.6,16131330952622,18146667584.6078,17939124969.2693,18381778510.7255,12376499231.8523,12225277270.1996,12547217395.7531,10338784502.5007,10208115207.0124,10486040433.6806,7376793247.27616,7276985060.76729,7488873485.85045,0.000572309148934122,0.000565763675116511,0.000579724071448362,0.000524520728507147,0.000518111884454685,0.000531755829000523,0.000501364528696865,0.000495027908591107,0.000508505493915355,0.000457296007932757,0.000451108782166823,0.000464243992504115,48584672.2258065,373.506020587475,369.234249145364,378.345220181639,254.740819786334,251.628275135423,258.254647421259,212.79930539511,210.109788526889,215.83021873534,151.833755571945,149.779441280289,154.140660886719
"4","Armenia","Europe and central Asia",2899472920432.81,1985561497444.34,1665675621996.81,1204140714314.8,2573395625.60974,2541043405.16394,2609170720.98006,1650133375.90468,1629082458.45451,1673406297.5344,1334987411.79344,1317817732.62636,1353965246.30573,891997804.977229,880318955.47204,904897710.025842,0.000887539113566063,0.0008763811475034,0.000899877595887526,0.000831066364868881,0.000820464367661912,0.000842787443092686,0.000801469022037471,0.000791161085161684,0.000812862497610788,0.000740775388103049,0.000731076480519948,0.000751488342905805,2714235.41935484,948.110693442142,936.191233466378,961.291235968119,607.955140566587,600.19939568902,616.529533732251,491.846581278038,485.520792790921,498.838544604786,328.636859800928,324.334046042803,333.38954446366
"5","Australia","East Asia and Pacific",58403910290422.2,41556665800603.2,35548490125840.9,26717808589137.9,111201074427.09,110621601678.009,111804084487.13,73171701961.3271,72771867917.933,73585766519.3718,60004649612.0355,59667943914.6667,60352440238.8938,41234793526.5696,40989540500.3203,41486765539.0689,0.00190400050055084,0.00189407868630587,0.00191432532395806,0.00176076931466107,0.00175114789687667,0.00177073316883627,0.00168796619489661,0.00167849446498131,0.0016977497504183,0.00154334489630761,0.00153416551224881,0.00155277576005748,29069794.2258065,3825.31343577149,3805.3795915695,3846.05696272445,2517.10422829101,2503.349949871,2531.34803596396,2064.15804480538,2052.57537948779,2076.12203134608,1418.47559037634,1410.03889404666,1427.14341962006
"6","Austria","Europe and central Asia",19937014902526,14301159137302.2,12282629708610.6,9303368171252.04,36628566334.1562,36346521113.0351,36933016381.5161,24478447140.3507,24280218897.0246,24691737573.2064,20235894124.0235,20067516726.1516,20416760546.7668,14137330059.0419,14012754269.665,14270682761.9502,0.00183721417239425,0.00182306735941849,0.00185248476575281,0.00171164077718027,0.00169777978581426,0.00172655498314134,0.00164752130480962,0.0016338127259575,0.00166224668748695,0.00151959266781756,0.0015062022712339,0.00153392647686968,9012036.22580645,4064.40513735046,4033.10863409036,4098.18774094099,2716.19493386582,2694.19898995711,2739.86221920639,2245.4297360764,2226.74612300017,2265.49916524995,1568.71651476044,1554.89324704873,1583.5136926198
"7","Bahrain","Middle East and north Africa",3601992190899.16,2542705663554.98,2166377184792.79,1615346846131.65,1642723833.97627,1585841752.96608,1720398096.63194,1069492517.67361,1030924807.42909,1122200083.08817,872184224.528119,840044054.825002,916126334.013345,592538662.667205,569688587.471513,623806672.291525,0.000456059798832101,0.00044026795976207,0.000477624049540896,0.000420612001224846,0.000405444020598021,0.00044134093032192,0.000402600355400042,0.000387764448740421,0.000422884039051109,0.000366818224882282,0.000352672609499176,0.000386175064374184,1630604.06451613,1007.43268689431,972.548632421487,1055.06795553245,655.887312528547,632.234905985598,688.211263241991,534.884122705124,515.17353176369,561.832485242332,363.385984103404,349.372726260537,382.561705729978
"8","Bangladesh","South Asia",96306298170048.8,64182352749865.6,53088935322694.1,37297111061753.8,16618809108.8059,11692205845.317,22545753886.3861,10759229071.4924,7575072856.53407,14596337699.8851,8750221274.25292,6162420015.39675,11871300151.6481,5913287284.10717,4166280890.80132,8023781847.29422,0.00017256201748573,0.000121406450746056,0.000234104667241771,0.000167635317349985,0.000118024231459012,0.000227419798036551,0.000164821939281055,0.000116077295164035,0.0002236115695199,0.000158545450727173,0.000111705190353835,0.000215131457072078,188521669,88.1533098924872,62.020487657135,119.592373682975,57.0715776523939,40.1814438452381,77.425251841395,46.4149363872485,32.6881257103487,62.9704808716079,31.366618572145,22.0997454186623,42.5615892849655
"9","Barbados","Latin America and Caribbean",160014525069.219,116606382713.319,100891238459.901,77457024846.867,14228751.5001383,12941033.7454882,15658542.0625672,9799075.02482232,8873981.40298637,10823086.0280802,8234140.08024648,7439942.13888694,9111886.82935093,5956421.17769536,5356828.31905889,6617034.70881059,8.89216244211782e-05,8.08741190206963e-05,9.78570042675416e-05,8.40354944284114e-05,7.61020211458182e-05,9.28172693144006e-05,8.16140252210218e-05,7.37422025188434e-05,9.0313955586663e-05,7.68996897243502e-05,6.9158715166886e-05,8.54284646472351e-05,279240.419354839,50.9552003002023,46.343698291914,56.0754854141278,35.0918933851419,31.779000416519,38.7590236867786,29.4876368516805,26.643500092416,32.6309738769307,21.3307987126547,19.1835706715933,23.6965505355517
"10","Belgium","Europe and central Asia",23590570095776,17003396809125.7,14638008755088.6,11137918785014.7,47979442365.4222,47702845066.5614,48290277967.1985,32052890095.2713,31855778709.9722,32273273407.0906,26493354793.2977,26324724107.2212,26681382021.47,18503878195.7228,18377294879.3615,18644221871.3399,0.00203383988477723,0.0020221149753012,0.00204701614972184,0.0018850874595874,0.00187349498853519,0.00189804859401797,0.00180990155399981,0.0017983814976248,0.00182274669102072,0.00166134073635179,0.00164997565829685,0.0016739412659773,11921449.9354839,4024.63145213676,4001.4298029785,4050.70509279779,2688.67379964132,2672.1396207985,2707.16008386111,2222.32655731254,2208.18140827537,2238.09873512563,1552.14997302018,1541.53185886072,1563.92233933272
