"","location","region","gdp_dif","gdp_dif_lower","gdp_dif_upper","gdp_dif002","gdp_dif002_lower","gdp_dif002_upper","gdp_dif003","gdp_dif003_lower","gdp_dif003_upper","gdp_dif005","gdp_dif005_lower","gdp_dif005_upper","gdp_dif_prop","gdp_dif_prop_lower","gdp_dif_prop_upper","gdp_dif_prop002","gdp_dif_prop002_lower","gdp_dif_prop002_upper","gdp_dif_prop003","gdp_dif_prop003_lower","gdp_dif_prop003_upper","gdp_dif_prop005","gdp_dif_prop005_lower","gdp_dif_prop005_upper","gdp_dif_perc","gdp_dif_perc_lower","gdp_dif_perc_upper","gdp_dif_perc002","gdp_dif_perc002_lower","gdp_dif_perc002_upper","gdp_dif_perc003","gdp_dif_perc003_lower","gdp_dif_perc003_upper","gdp_dif_perc005","gdp_dif_perc005_lower","gdp_dif_perc005_upper","inc","dea","pop","gdp_pc","le","gdp_sq","gdp_sq002","gdp_sq003","gdp_sq005","pop_m"
"1","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0130566562900248,7.67936132788859e-05,37212970,2111.02759734039,63.565,3824228549162.96,2770181822271.7,2390245949390.5,1826810504253.34,"55738534.0967742"
"2","Albania","Europe and central Asia",1367486755.00178,1282244543.4904,1494002258.62679,901259349.392288,842327585.023078,988782508.601654,739748201.850671,690123896.208124,813480428.774607,509384360.595227,473323649.436895,563021523.841144,0.000641043807087901,0.000601084376700748,0.00070035113112799,0.000601421547819344,0.000562095650155643,0.000659826838058196,0.000580846434627299,0.000541881688337659,0.000638740595125095,0.000539104626737197,0.000500939936705933,0.000595871275083336,504.285548604113,472.850936722853,550.940435694687,332.355734913341,310.623577715886,364.631487637105,272.795569269471,254.495706324899,299.98566553047,187.844723755869,174.546682335709,207.624400739286,0.0325623328211849,3.40353378937583e-05,2875637,13551.4252306532,79.282,2133218884390.95,1528519454803.89,1311776405058.07,992114613933.224,"2711731"
"3","Algeria","Middle East and north Africa",12505004476.4257,11593804703.9219,13666454325.0448,8304669779.19783,7664371603.85366,9120129117.51527,6844730202.3898,6301573616.34939,7536178623.01006,4754978281.43485,4355191430.11222,5263483478.27661,0.000614020181799878,0.000569278490501522,0.000671049641369042,0.000566805227581518,0.000523103989284836,0.000622461458127405,0.000543217978659762,0.000500111469850752,0.00059809336487523,0.000497079780916781,0.000455286538401929,0.000550238310121435,240.790804615431,223.245147050877,263.155166347303,159.911027778382,147.58173088564,175.613150122663,131.799080593378,121.340298940689,145.113303860159,91.5597470176084,83.8616292131627,101.351296931044,0.020952318505971,3.65830899258275e-05,42319750,11743.9257084458,76.474,20365787391173,14944751322999.3,12978348260592.5,10044116431970.6,"51933064.8709677"
"4","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0157149507873384,5.77808698378845e-05,47887,NA,NA,NA,NA,NA,NA,"39362.0967741935"
"5","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0972568943548972,0.000139763318172882,75666,56330.9500039648,NA,167795270731.305,123810996509.84,107807175195.044,83854627698.1179,"81210.0322580645"
"6","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00894959017408428,3.46523221651981e-05,31808179,6727.82934225817,62.448,6663970314154.01,5067702303182.61,4476069001432.53,3574869527583.35,"51244669.1290323"
"7","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0115128052725561,4.06035279965881e-05,91856,23705.8522905417,78.691,114540505930.213,81111999644.9761,69197747601.5567,51723586183.4591,"97749.4516129032"
"8","Argentina","Latin America and Caribbean",18146667584.6078,17939124969.2693,18381778510.7255,12376499231.8523,12225277270.1996,12547217395.7531,10338784502.5007,10208115207.0124,10486040433.6806,7376793247.27616,7276985060.76729,7488873485.85045,0.000572309148934122,0.000565763675116511,0.000579724071448362,0.000524520728507147,0.000518111884454685,0.000531755829000523,0.000501364528696865,0.000495027908591107,0.000508505493915355,0.000457296007932757,0.000451108782166823,0.000464243992504115,373.506020587475,369.234249145364,378.345220181639,254.740819786334,251.628275135423,258.254647421259,212.79930539511,210.109788526889,215.83021873534,151.833755571945,149.779441280289,154.140660886719,0.0280521467323517,4.44728633799295e-05,44582599,22250.8337838267,77.284,31707806206496,24067741331060.3,21239931084183.8,16937897500253.1,"48584672.2258065"
"9","Armenia","Europe and central Asia",2573395625.60974,2541043405.16394,2609170720.98006,1650133375.90468,1629082458.45451,1673406297.5344,1334987411.79344,1317817732.62636,1353965246.30573,891997804.977229,880318955.47204,904897710.025842,0.000887539113566063,0.0008763811475034,0.000899877595887526,0.000831066364868881,0.000820464367661912,0.000842787443092686,0.000801469022037471,0.000791161085161684,0.000812862497610788,0.000740775388103049,0.000731076480519948,0.000751488342905805,948.110693442142,936.191233466378,961.291235968119,607.955140566587,600.19939568902,616.529533732251,491.846581278038,485.520792790921,498.838544604786,328.636859800928,324.334046042803,333.38954446366,0.0150814843506564,3.86211356798975e-05,2828707,14276.5292616026,75.439,2899472920432.81,2025272727393.23,1715645890656.71,1264347750030.54,"2714235.41935484"
"10","Australia","East Asia and Pacific",111201074427.09,110621601678.009,111804084487.13,73171701961.3271,72771867917.933,73585766519.3718,60004649612.0355,59667943914.6667,60352440238.8938,41234793526.5696,40989540500.3203,41486765539.0689,0.00190400050055084,0.00189407868630587,0.00191432532395806,0.00176076931466107,0.00175114789687667,0.00177073316883627,0.00168796619489661,0.00167849446498131,0.0016977497504183,0.00154334489630761,0.00153416551224881,0.00155277576005748,3825.31343577149,3805.3795915695,3846.05696272445,2517.10422829101,2503.349949871,2531.34803596396,2064.15804480538,2052.57537948779,2076.12203134608,1418.47559037634,1410.03889404666,1427.14341962006,0.0698286598344554,0.000173466172476942,25170161,49661.9787215505,82.9,58403910290422.2,42387799116615.3,36614944829616.2,28053699018594.8,"29069794.2258065"
"11","Austria","Europe and central Asia",36628566334.1562,36346521113.0351,36933016381.5161,24478447140.3507,24280218897.0246,24691737573.2064,20235894124.0235,20067516726.1516,20416760546.7668,14137330059.0419,14012754269.665,14270682761.9502,0.00183721417239425,0.00182306735941849,0.00185248476575281,0.00171164077718027,0.00169777978581426,0.00172655498314134,0.00164752130480962,0.0016338127259575,0.00166224668748695,0.00151959266781756,0.0015062022712339,0.00153392647686968,4064.40513735046,4033.10863409036,4098.18774094099,2716.19493386582,2694.19898995711,2739.86221920639,2245.4297360764,2226.74612300017,2265.49916524995,1568.71651476044,1554.89324704873,1583.5136926198,0.0723142929236565,0.000226149721163517,8858773,55876.8127369332,81.89512195,19937014902526,14587182320048.2,12651108599868.9,9768536579814.64,"9012036.22580645"
"12","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0188139453150949,2.29586096896866e-05,10191978,14226.8752934906,73.102,5437656126268.88,4058618687573.59,3553363003255.17,2792131374329.43,"10760536.8709677"
"13","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0134495298184369,5.09993587648136e-05,403335,34428.9924653204,71.205,523102934824.097,386818119028.498,337114598250.1,262558195405.275,"434644.516129032"
"14","Bahrain","Middle East and north Africa",1642723833.97627,1585841752.96608,1720398096.63194,1069492517.67361,1030924807.42909,1122200083.08817,872184224.528119,840044054.825002,916126334.013345,592538662.667205,569688587.471513,623806672.291525,0.000456059798832101,0.00044026795976207,0.000477624049540896,0.000420612001224846,0.000405444020598021,0.00044134093032192,0.000402600355400042,0.000387764448740421,0.000422884039051109,0.000366818224882282,0.000352672609499176,0.000386175064374184,1007.43268689431,972.548632421487,1055.06795553245,655.887312528547,632.234905985598,688.211263241991,534.884122705124,515.17353176369,561.832485242332,363.385984103404,349.372726260537,382.561705729978,0.0208262624254941,1.75491161629989e-05,1494344,49763.7806502385,80.019,3601992190899.16,2593559776826.08,2231368500336.57,1696114188438.23,"1630604.06451613"
"15","Bangladesh","South Asia",16618809108.8059,11692205845.317,22545753886.3861,10759229071.4924,7575072856.53407,14596337699.8851,8750221274.25292,6162420015.39675,11871300151.6481,5913287284.10717,4166280890.80132,8023781847.29422,0.00017256201748573,0.000121406450746056,0.000234104667241771,0.000167635317349985,0.000118024231459012,0.000227419798036551,0.000164821939281055,0.000116077295164035,0.0002236115695199,0.000158545450727173,0.000111705190353835,0.000215131457072078,88.1533098924872,62.020487657135,119.592373682975,57.0715776523939,40.1814438452381,77.425251841395,46.4149363872485,32.6881257103487,62.9704808716079,31.366618572145,22.0997454186623,42.5615892849655,0.0123967538701239,3.15288742143489e-05,164605451,5497.99532458983,72.806,96306298170048.8,65465999804863,54681603382375,39161966614841.5,"188521669"
