"","location","year","gdp"
"1075","Afghanistan","2019","78557606649"
"1343","Afghanistan","2020","76710638230"
"7","Afghanistan","2021","81057384499.9338"
"8","Afghanistan","2022","84800266269.5999"
"9","Afghanistan","2023","87210694853.179"
"10","Afghanistan","2024","90252232918.7917"
"11","Afghanistan","2025","93586951896.5221"
"12","Afghanistan","2026","96917173738.751"
"13","Afghanistan","2027","100436569017.951"
"14","Afghanistan","2028","102944891495.538"
"15","Afghanistan","2029","105515857308.248"
"16","Afghanistan","2030","108151030922.958"
"17","Afghanistan","2031","110852015877.848"
"18","Afghanistan","2032","113620455758.172"
"19","Afghanistan","2033","116458035196.404"
"20","Afghanistan","2034","119366480897.357"
"21","Afghanistan","2035","122347562688.908"
"22","Afghanistan","2036","125403094598.961"
"23","Afghanistan","2037","128534935959.306"
"24","Afghanistan","2038","131744992537.048"
"25","Afghanistan","2039","135035217694.293"
"26","Afghanistan","2040","138407613576.792"
"27","Afghanistan","2041","141864232332.275"
"28","Afghanistan","2042","145407177359.211"
"29","Afghanistan","2043","149038604586.752"
"30","Afghanistan","2044","152760723786.645"
"31","Afghanistan","2045","156575799917.91"
"32","Afghanistan","2046","160486154505.093"
"33","Afghanistan","2047","164494167050.948"
"34","Afghanistan","2048","168602276484.396"
"35","Afghanistan","2049","172812982644.645"
"36","Afghanistan","2050","177128847802.374"
"1078","Albania","2019","38968979796"
"1346","Albania","2020","37682192114"
"71","Albania","2021","41039298609.4363"
"81","Albania","2022","43027242234.0774"
"91","Albania","2023","44579234861.4606"
"101","Albania","2024","46063723382.3472"
"111","Albania","2025","47643248457.1279"
"121","Albania","2026","49287416961.3834"
"131","Albania","2027","50995718833.2649"
"141","Albania","2028","52680331137.6644"
"151","Albania","2029","54420593576.6451"
"161","Albania","2030","56218344518.2818"
"171","Albania","2031","58075483060.0115"
"181","Albania","2032","59993971034.7907"
"191","Albania","2033","61975835083.5248"
"201","Albania","2034","64023168795.9587"
"211","Albania","2035","66138134922.291"
"221","Albania","2036","68322967657.847"
"231","Albania","2037","70579975003.2248"
"241","Albania","2038","72911541202.4071"
"251","Albania","2039","75320129261.4147"
"261","Albania","2040","77808283550.1621"
"272","Albania","2041","80378632490.2639"
"281","Albania","2042","83033891331.6312"
"291","Albania","2043","85776865020.7911"
"301","Albania","2044","88610451163.9594"
"311","Albania","2045","91537643087.9965"
"321","Albania","2046","94561533002.4805"
"331","Albania","2047","97685315266.2369"
"341","Albania","2048","100912289761.776"
"351","Albania","2049","104245865381.205"
"361","Albania","2050","107689563627.29"
"1081","United Arab Emirates","2019","6.61e+11"
"1349","United Arab Emirates","2020","6.28e+11"
"72","United Arab Emirates","2021","655349400000"
"82","United Arab Emirates","2022","706794327900"
"9.1","United Arab Emirates","2023","730712247956.136"
"102","United Arab Emirates","2024","760028423344.136"
"112","United Arab Emirates","2025","791592403765.618"
"122","United Arab Emirates","2026","825369651634.297"
"132","United Arab Emirates","2027","861364022142.069"
"142","United Arab Emirates","2028","879913376841.36"
"152","United Arab Emirates","2029","898862189320.306"
"162","United Arab Emirates","2030","918219061846.767"
"172","United Arab Emirates","2031","937992781937.245"
"182","United Arab Emirates","2032","958192326346.193"
"192","United Arab Emirates","2033","978826865141.224"
"202","United Arab Emirates","2034","999905765866.085"
"212","United Arab Emirates","2035","1021438597793.28"
"222","United Arab Emirates","2036","1043435136268.26"
"232","United Arab Emirates","2037","1065905367147.2"
"242","United Arab Emirates","2038","1088859491330.29"
"252","United Arab Emirates","2039","1112307929392.69"
"262","United Arab Emirates","2040","1136261326315.2"
"273","United Arab Emirates","2041","1160730556316.81"
"282","United Arab Emirates","2042","1185726727791.31"
"292","United Arab Emirates","2043","1211261188350.2"
"302","United Arab Emirates","2044","1237345529974.22"
"312","United Arab Emirates","2045","1263991594275.81"
"322","United Arab Emirates","2046","1291211477874.89"
"332","United Arab Emirates","2047","1319017537890.42"
"342","United Arab Emirates","2048","1347422397550.18"
"352","United Arab Emirates","2049","1376438951921.43"
"362","United Arab Emirates","2050","1406080373764.91"
"1082","Argentina","2019","9.92e+11"
"1350","Argentina","2020","8.94e+11"
"73","Argentina","2021","989818920000"
"83","Argentina","2022","1038874345675.2"
"93","Argentina","2023","1012902487033.32"
"10.1","Argentina","2024","1040757305426.74"
"113","Argentina","2025","1074581917853.11"
"123","Argentina","2026","1106819375388.7"
"133","Argentina","2027","1137256908211.89"
"143","Argentina","2028","1126619322453.81"
"153","Argentina","2029","1116081237723.11"
"163","Argentina","2030","1105641723314.77"
"173","Argentina","2031","1095299857229.32"
"183","Argentina","2032","1085054726091.44"
"193","Argentina","2033","1074905425069.25"
"203","Argentina","2034","1064851057794.42"
"213","Argentina","2035","1054890736283"
"223","Argentina","2036","1045023580857"
"233","Argentina","2037","1035248720066.69"
"243","Argentina","2038","1025565290613.65"
"253","Argentina","2039","1015972437274.5"
"263","Argentina","2040","1006469312825.38"
"275","Argentina","2041","997055077967.144"
"283","Argentina","2042","987728901251.205"
"293","Argentina","2043","978489959006.118"
"303","Argentina","2044","969337435264.833"
"313","Argentina","2045","960270521692.629"
"323","Argentina","2046","951288417515.724"
"333","Argentina","2047","942390329450.553"
"343","Argentina","2048","933575471633.703"
"353","Argentina","2049","924843065552.512"
"363","Argentina","2050","916192339976.309"
"1083","Armenia","2019","40384118258"
"1351","Armenia","2020","37476461744"
"74","Armenia","2021","39606623829.529"
"84","Armenia","2022","44598642697.0028"
"94","Armenia","2023","47734819251.456"
"104","Armenia","2024","50122514910.4138"
"11.1","Armenia","2025","52378028081.3824"
"124","Armenia","2026","54735039345.0446"
"134","Armenia","2027","57198116115.5716"
"144","Armenia","2028","60104608724.9737"
"154","Armenia","2029","63158793249.1137"
"164","Armenia","2030","66368174576.0509"
"174","Armenia","2031","69740638950.8397"
"184","Armenia","2032","73284473353.9873"
"194","Armenia","2033","77008385864.6181"
"204","Armenia","2034","80921527058.3813"
"214","Armenia","2035","85033512492.6828"
"224","Armenia","2036","89354446334.4916"
"234","Armenia","2037","93894946188.7816"
"244","Armenia","2038","98666169188.6175"
"254","Armenia","2039","103679839410.995"
"264","Armenia","2040","108948276685.803"
"276","Armenia","2041","114484426868.696"
"284","Armenia","2042","120301893652.273"
"294","Armenia","2043","126414971993.715"
"304","Armenia","2044","132838683241.042"
"314","Armenia","2045","139588812044.282"
"324","Armenia","2046","146681945142.27"
"334","Armenia","2047","154135512120.373"
"344","Armenia","2048","161967828239.3"
"354","Armenia","2049","170198139440.236"
"364","Armenia","2050","178846669636.886"
"1086","Australia","2019","1.25e+12"
"1354","Australia","2020","1.25e+12"
"75","Australia","2021","1.315075e+12"
"85","Australia","2022","1363627569000"
"95","Australia","2023","1387859230901.13"
"105","Australia","2024","1405027049587.38"
"115","Australia","2025","1432818484628.22"
"125","Australia","2026","1464182881256.73"
"135","Australia","2027","1497815162039.2"
"14.1","Australia","2028","1536088065362.63"
"155","Australia","2029","1575338936572.84"
"165","Australia","2030","1615592765182.1"
"175","Australia","2031","1656875179246.9"
"185","Australia","2032","1699212461684.32"
"195","Australia","2033","1742631567005.34"
"205","Australia","2034","1787160138475.77"
"215","Australia","2035","1832826525715.6"
"225","Australia","2036","1879659802748.14"
"235","Australia","2037","1927689786510.34"
"245","Australia","2038","1976947055836.03"
"255","Australia","2039","2027462970924.33"
"265","Australia","2040","2079269693305.46"
"2710","Australia","2041","2132400206316.74"
"285","Australia","2042","2186888336101.8"
"295","Australia","2043","2242768773146.38"
"305","Australia","2044","2300077094364.45"
"315","Australia","2045","2358849785748.61"
"325","Australia","2046","2419124265599.34"
"335","Australia","2047","2480938908347.77"
"345","Australia","2048","2544333068987.23"
"355","Australia","2049","2609347108129"
"365","Australia","2050","2676022417698.39"
"1087","Austria","2019","4.95e+11"
"1355","Austria","2020","4.62e+11"
"76","Austria","2021","483053340000"
"86","Austria","2022","506476596456.6"
"96","Austria","2023","506957749223.234"
"106","Austria","2024","510846115159.776"
"116","Austria","2025","519458980661.37"
"126","Austria","2026","529536484886.201"
"136","Austria","2027","538586263412.906"
"146","Austria","2028","549449170788.037"
"15.1","Austria","2029","560531175389.846"
"166","Austria","2030","571836696255.805"
"176","Austria","2031","583370241552.272"
"186","Austria","2032","595136410372.162"
"196","Austria","2033","607139894568.87"
"206","Austria","2034","619385480627.184"
"216","Austria","2035","631878051571.935"
"226","Austria","2036","644622588915.142"
"236","Austria","2037","657624174642.43"
"246","Austria","2038","670887993239.51"
"256","Austria","2039","684419333759.536"
"266","Austria","2040","698223591932.157"
"2711","Austria","2041","712306272315.105"
"286","Austria","2042","726672990489.185"
"296","Austria","2043","741329475297.528"
"306","Austria","2044","756281571130.016"
"316","Austria","2045","771535240253.778"
"326","Austria","2046","787096565190.692"
"336","Austria","2047","802971751142.836"
"346","Austria","2048","819167128466.866"
"356","Austria","2049","835689155198.294"
"366","Austria","2050","852544419626.68"
"1089","Burundi","2019","8664576039"
"1357","Burundi","2020","8692922796"
"77","Burundi","2021","8964055058.00724"
"87","Burundi","2022","9127828343.91703"
"97","Burundi","2023","9432332697.4701"
"107","Burundi","2024","9993556492.96957"
"117","Burundi","2025","10587673426.4766"
"127","Burundi","2026","11191170811.7858"
"137","Burundi","2027","11856150181.4221"
"147","Burundi","2028","11954080956.7828"
"157","Burundi","2029","12052820631.8805"
"167","Burundi","2030","12152375888.157"
"17.1","Burundi","2031","12252753462.2423"
"187","Burundi","2032","12353960146.4104"
"197","Burundi","2033","12456002789.039"
"207","Burundi","2034","12558888295.0726"
"217","Burundi","2035","12662623626.4901"
"227","Burundi","2036","12767215802.7757"
"237","Burundi","2037","12872671901.3939"
"247","Burundi","2038","12978999058.2684"
"257","Burundi","2039","13086204468.2652"
"267","Burundi","2040","13194295385.6791"
"2712","Burundi","2041","13303279124.7247"
"287","Burundi","2042","13413163060.0316"
"297","Burundi","2043","13523954627.1431"
"307","Burundi","2044","13635661323.0194"
"317","Burundi","2045","13748290706.5449"
"327","Burundi","2046","13861850399.0399"
"337","Burundi","2047","13976348084.776"
"347","Burundi","2048","14091791511.4963"
"357","Burundi","2049","14208188490.9395"
"367","Burundi","2050","14325546899.3687"
"1090","Belgium","2019","5.97e+11"
"1358","Belgium","2020","5.66e+11"
"78","Belgium","2021","601578760000"
"88","Belgium","2022","621118038124.8"
"98","Belgium","2023","627335429686.429"
"108","Belgium","2024","632680327547.357"
"118","Belgium","2025","640418007953.261"
"128","Belgium","2026","648051790608.064"
"138","Belgium","2027","656113554883.228"
"148","Belgium","2028","667289118936.816"
"158","Belgium","2029","678655036064.176"
"168","Belgium","2030","690214548543.955"
