"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level"
"1","Albania",2020,"Europe and central Asia",15931250.1843679,15931250.1843679,15931250.1843679,15931250.1843679,17.519504887527,37682192114,219599622319.98,0.516049904761905,23.4764334077738
"2","Albania",2021,"Europe and central Asia",16029813.5654678,16031407.7507297,16030761.0235213,16032484.2871323,17.519504887527,41039298609.4363,215221374693.12,0.516049904761905,25.7363117809516
"3","Albania",2022,"Europe and central Asia",16096015.6904284,16098523.4416147,16097567.530736,16100015.0148586,17.519504887527,43027242234.0774,211650187884.151,0.516049904761905,27.1445687334821
"4","Albania",2023,"Europe and central Asia",16157539.0275157,16160520.4774402,16159435.6725441,16162148.6419517,17.519504887527,44579234861.4606,208605838296.111,0.516049904761905,28.2658565034557
"5","Albania",2024,"Europe and central Asia",16219218.3239189,16222422.0038691,16221293.3447969,16224085.9638526,17.519504887527,46063723382.3472,205985607611.681,0.516049904761905,29.3286013226605
"6","Albania",2025,"Europe and central Asia",16311187.1995204,16314489.381521,16313343.280802,16316175.7583223,17.519504887527,47643248457.1279,203756463500.444,0.516049904761905,30.4055831004881
"7","Albania",2026,"Europe and central Asia",16412936.3482392,16416288.8023716,16415127.8950399,16418004.1431095,17.519504887527,49287416961.3834,201915501567.445,0.516049904761905,31.4921222293436
"8","Albania",2027,"Europe and central Asia",16488048.4003318,16491424.4640205,16490252.3837543,16493162.7458071,17.519504887527,50995718833.2649,200454637912.558,0.516049904761905,32.6213882899932
"9","Albania",2028,"Europe and central Asia",16569680.4508361,16573061.7866023,16571884.4764799,16574812.6057309,17.519504887527,52680331137.6644,199366103470.354,0.516049904761905,33.7019315736791
"10","Albania",2029,"Europe and central Asia",16632462.0688602,16635837.0260399,16634659.4763001,16637592.0201687,17.519504887527,54420593576.6451,198627131485.264,0.516049904761905,34.8098776230865
"11","Albania",2030,"Europe and central Asia",16714896.5877286,16718261.5503856,16717085.8856706,16720016.1946455,17.519504887527,56218344518.2818,198229993462.483,0.516049904761905,35.9029296692966
"12","Albania",2031,"Europe and central Asia",16797424.6808242,16800779.4020692,16799606.3526042,16802532.1764999,17.519504887527,58075483060.0115,198167669404.926,0.516049904761905,37.0004428497738
"13","Albania",2032,"Europe and central Asia",16851366.033277,16854703.9219312,16853536.2631704,16856449.562074,17.519504887527,59993971034.7907,198433823027.833,0.516049904761905,38.134763198899
"14","Albania",2033,"Europe and central Asia",16915130.1970807,16918238.7997535,16917157.1009343,16919843.6573449,17.519504887527,61975835083.5248,199022778564.103,0.516049904761905,39.2614653798514
"15","Albania",2034,"Europe and central Asia",16934778.3831683,16937647.146547,16936640.4653339,16939105.519368,17.519504887527,64023168795.9587,199929499092.442,0.516049904761905,40.445084079336
"16","Albania",2035,"Europe and central Asia",16965605.8645752,16968467.0668147,16967462.9900502,16969922.2736577,17.519504887527,66138134922.291,201149566324.177,0.516049904761905,41.6192463690346
"17","Albania",2036,"Europe and central Asia",16980397.9725966,16983250.9974545,16982249.5695568,16984703.8907551,17.519504887527,68322967657.847,202679161788.198,0.516049904761905,42.8175165672306
"18","Albania",2037,"Europe and central Asia",16961866.7404138,16964707.2334988,16963709.6641842,16966157.4830347,17.519504887527,70579975003.2248,204515049356.908,0.516049904761905,44.064184904287
"19","Albania",2038,"Europe and central Asia",16958947.2583653,16961778.9835894,16960783.7203893,16963229.1703791,17.519504887527,72911541202.4071,206654559059.368,0.516049904761905,45.295158015099
"20","Albania",2039,"Europe and central Asia",16927007.4300107,16929824.4288419,16928833.1921929,16931272.5071058,17.519504887527,75320129261.4147,209095572130.927,0.516049904761905,46.5715807452539
"21","Albania",2040,"Europe and central Asia",16899508.5834292,16902314.7307464,16901325.9683278,16903763.3578395,17.519504887527,77808283550.1621,211836507251.626,0.516049904761905,47.847906087289
"22","Albania",2041,"Europe and central Asia",16846595.8156232,16849386.9009086,16848401.9600196,16850834.3739399,17.519504887527,80378632490.2639,214876307928.516,0.516049904761905,49.1683894836844
"23","Albania",2042,"Europe and central Asia",16756605.5376953,16759372.6685582,16758394.4661419,16760815.0742491,17.519504887527,83033891331.6312,218214430979.749,0.516049904761905,50.5546532548999
