"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper"
"29","Afghanistan","2020","South Asia","61170524.9653733","65634995.8691866","65634995.8691866","65634995.8691866"
"29.1","Afghanistan","2021","South Asia","62684864.2216467","67063665.9796177","67061258.9325411","67068590.3326242"
"292","Afghanistan","2022","South Asia","62761989.7559427","67050051.3934682","67045968.4988041","67058305.3571018"
"293","Afghanistan","2023","South Asia","63115338.0663329","67320278.8876195","67314330.3246053","67332068.9584936"
"294","Afghanistan","2024","South Asia","63379046.9687265","67497503.026014","67489477.7276744","67513017.983717"
"295","Afghanistan","2025","South Asia","63610409.9544094","67641948.1615073","67631734.3514635","67661177.0069921"
"296","Afghanistan","2026","South Asia","63827865.1038902","67776442.687372","67764297.1579413","67798849.3571948"
"297","Afghanistan","2027","South Asia","64383564.6128649","68277449.2656262","68263660.7791269","68302522.1149247"
"298","Afghanistan","2028","South Asia","65363284.15255","69237939.5596986","69222818.3691125","69265159.1472925"
"299","Afghanistan","2029","South Asia","66399386.1804379","70263779.5117414","70247758.3485745","70292470.4903933"
"2910","Afghanistan","2030","South Asia","67429957.8765944","71280589.7174906","71263961.8614228","71310301.6730511"
"2912","Afghanistan","2031","South Asia","68436470.3723453","72270267.5692893","72253188.5110964","72300764.4808749"
"2913","Afghanistan","2032","South Asia","69497901.9854757","73315098.7191156","73297625.7813317","73346294.2005761"
"2914","Afghanistan","2033","South Asia","70708047.3105431","74513562.8826735","74495697.5851265","74545457.3632725"
"2915","Afghanistan","2034","South Asia","71876235.996575","75670711.9601009","75652467.0869405","75703280.4115418"
"2916","Afghanistan","2035","South Asia","73029407.4454461","76810307.0643279","76791682.1319186","76843550.4244395"
"2917","Afghanistan","2036","South Asia","74149015.029203","77913675.8070029","77894675.4239675","77947585.086834"
"2918","Afghanistan","2037","South Asia","75209896.1363209","78956279.6816455","78936912.603859","78990839.792748"
"2919","Afghanistan","2038","South Asia","76256391.8865667","79982446.9531101","79962712.8729516","80017658.3459142"
"2920","Afghanistan","2039","South Asia","77204651.312863","80908135.8475366","80888057.1143957","80943955.6470408"
"2922","Afghanistan","2040","South Asia","78103979.3770547","81782620.4131643","81762204.9514747","81819034.9500759"
"2923","Afghanistan","2041","South Asia","78959150.9831997","82610863.8410797","82590120.3913444","82647857.5360409"
"2924","Afghanistan","2042","South Asia","79735159.401989","83357625.3745528","83336570.228812","83395168.31178"
"2925","Afghanistan","2043","South Asia","80458712.2073121","84050007.366457","84028647.4403702","84088083.2295307"
"2926","Afghanistan","2044","South Asia","81091380.798559","84649150.5061124","84627511.3091414","84687713.3891994"
"2927","Afghanistan","2045","South Asia","81651613.0191972","85174048.4144684","85152145.3018305","85213071.9221468"
"2928","Afghanistan","2046","South Asia","82152076.7441315","85637014.5843206","85614860.9682153","85676476.0034836"
"2929","Afghanistan","2047","South Asia","82579345.055533","86024889.4375143","86002503.4471257","86064755.5637674"
"2930","Afghanistan","2048","South Asia","82926334.7286965","86330257.5513777","86307656.2965489","86370498.6869143"
"2932","Afghanistan","2049","South Asia","83227113.7912871","86587915.814493","86565116.1375416","86628503.9014927"
"2933","Afghanistan","2050","South Asia","83616181.142505","86936533.8093315","86913522.6722366","86977486.3684739"
"2934","Albania","2020","Europe and central Asia","15931250.1843679","22447386.982623","22447386.982623","22447386.982623"
"2935","Albania","2021","Europe and central Asia","16029813.5654678","22564347.330453","22563700.6032446","22565423.8668557"
"2936","Albania","2022","Europe and central Asia","16096015.6904284","22640359.2459474","22639403.3350687","22641850.8191914"
"2937","Albania","2023","Europe and central Asia","16157539.0275157","22718387.6952395","22717302.8903434","22720015.859751"
