"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper"
"29","Afghanistan","2020","South Asia","61170524.9653733","61170524.9653733","61170524.9653733","61170524.9653733"
"29.1","Afghanistan","2021","South Asia","62684864.2216467","62689306.1855061","62686899.1384295","62694230.5385126"
"292","Afghanistan","2022","South Asia","62761989.7559427","62769546.4496473","62765463.5549832","62777800.4132809"
"293","Afghanistan","2023","South Asia","63115338.0663329","63126101.9607278","63120153.3977135","63137892.0316019"
"294","Afghanistan","2024","South Asia","63379046.9687265","63393245.265402","63385219.9670624","63408760.223105"
"295","Afghanistan","2025","South Asia","63610409.9544094","63628128.1455951","63617914.3355513","63647356.9910799"
"296","Afghanistan","2026","South Asia","63827865.1038902","63848671.0852921","63836525.5558613","63871077.7551148"
"297","Afghanistan","2027","South Asia","64383564.6128649","64406988.911924","64393200.4254248","64432061.7612226"
"298","Afghanistan","2028","South Asia","65363284.15255","65388816.5367235","65373695.3461375","65416036.1243174"
"299","Afghanistan","2029","South Asia","66399386.1804379","66426355.1626266","66410333.9994596","66455046.1412784"
"2910","Afghanistan","2030","South Asia","67429957.8765944","67457915.5300287","67441287.6739609","67487627.4855892"
"2912","Afghanistan","2031","South Asia","68436470.3723453","68465182.4850129","68448103.4268201","68495679.3965986"
"2913","Afghanistan","2032","South Asia","69497901.9854757","69527284.653203","69509811.7154192","69558480.1346636"
"2914","Afghanistan","2033","South Asia","70708047.3105431","70738103.3323125","70720238.0347655","70769997.8129115"
"2915","Afghanistan","2034","South Asia","71876235.996575","71906947.0145893","71888702.1414288","71939515.4660302"
"2916","Afghanistan","2035","South Asia","73029407.4454461","73060776.5893314","73042151.6569222","73094019.9494431"
"2917","Afghanistan","2036","South Asia","74149015.029203","74181035.9246371","74162035.5416017","74214945.2044682"
"2918","Afghanistan","2037","South Asia","75209896.1363209","75242555.9322346","75223188.8544482","75277116.0433372"
"2919","Afghanistan","2038","South Asia","76256391.8865667","76289691.6208489","76269957.5406904","76324903.0136531"
"2920","Afghanistan","2039","South Asia","77204651.312863","77238555.333718","77218476.6005771","77274375.1332222"
"2922","Afghanistan","2040","South Asia","78103979.3770547","78138475.095654","78118059.6339644","78174889.6325655"
"2923","Afghanistan","2041","South Asia","78959150.9831997","78994223.7106062","78973480.260871","79031217.4055675"
"2924","Afghanistan","2042","South Asia","79735159.401989","79770782.4810882","79749727.3353474","79808325.4183154"
"2925","Afghanistan","2043","South Asia","80458712.2073121","80494872.6610893","80473512.7350025","80532948.5241629"
"2926","Afghanistan","2044","South Asia","81091380.798559","81128034.3774465","81106395.1804755","81166597.2605335"
"2927","Afghanistan","2045","South Asia","81651613.0191972","81688733.919141","81666830.8065031","81727757.4268194"
"2928","Afghanistan","2046","South Asia","82152076.7441315","82189641.7809159","82167488.1648106","82229103.2000789"
"2929","Afghanistan","2047","South Asia","82579345.055533","82617323.9792769","82594937.9888884","82657190.1055301"
"2930","Afghanistan","2048","South Asia","82926334.7286965","82964699.2347014","82942097.9798727","83004940.370238"
"2932","Afghanistan","2049","South Asia","83227113.7912871","83265831.6981441","83243032.0211927","83306419.7851437"
"2933","Afghanistan","2050","South Asia","83616181.142505","83655274.4475719","83632263.310477","83696227.0067143"
"2934","Albania","2020","Europe and central Asia","15931250.1843679","15931250.1843679","15931250.1843679","15931250.1843679"
"2935","Albania","2021","Europe and central Asia","16029813.5654678","16031407.7507297","16030761.0235213","16032484.2871323"
"2936","Albania","2022","Europe and central Asia","16096015.6904284","16098523.4416147","16097567.530736","16100015.0148586"
"2937","Albania","2023","Europe and central Asia","16157539.0275157","16160520.4774402","16159435.6725441","16162148.6419517"
"2938","Albania","2024","Europe and central Asia","16219218.3239189","16222422.0038691","16221293.3447969","16224085.9638526"
"2939","Albania","2025","Europe and central Asia","16311187.1995204","16314489.381521","16313343.280802","16316175.7583223"
"2940","Albania","2026","Europe and central Asia","16412936.3482392","16416288.8023716","16415127.8950399","16418004.1431095"
"2942","Albania","2027","Europe and central Asia","16488048.4003318","16491424.4640205","16490252.3837543","16493162.7458071"
"2943","Albania","2028","Europe and central Asia","16569680.4508361","16573061.7866023","16571884.4764799","16574812.6057309"
"2944","Albania","2029","Europe and central Asia","16632462.0688602","16635837.0260399","16634659.4763001","16637592.0201687"
"2945","Albania","2030","Europe and central Asia","16714896.5877286","16718261.5503856","16717085.8856706","16720016.1946455"
"2946","Albania","2031","Europe and central Asia","16797424.6808242","16800779.4020692","16799606.3526042","16802532.1764999"
"2947","Albania","2032","Europe and central Asia","16851366.033277","16854703.9219312","16853536.2631704","16856449.562074"
"2948","Albania","2033","Europe and central Asia","16915130.1970807","16918238.7997535","16917157.1009343","16919843.6573449"
"2949","Albania","2034","Europe and central Asia","16934778.3831683","16937647.146547","16936640.4653339","16939105.519368"
"2950","Albania","2035","Europe and central Asia","16965605.8645752","16968467.0668147","16967462.9900502","16969922.2736577"
"2952","Albania","2036","Europe and central Asia","16980397.9725966","16983250.9974545","16982249.5695568","16984703.8907551"
"2953","Albania","2037","Europe and central Asia","16961866.7404138","16964707.2334988","16963709.6641842","16966157.4830347"
"2954","Albania","2038","Europe and central Asia","16958947.2583653","16961778.9835894","16960783.7203893","16963229.1703791"
"2955","Albania","2039","Europe and central Asia","16927007.4300107","16929824.4288419","16928833.1921929","16931272.5071058"
"2956","Albania","2040","Europe and central Asia","16899508.5834292","16902314.7307464","16901325.9683278","16903763.3578395"
"2957","Albania","2041","Europe and central Asia","16846595.8156232","16849386.9009086","16848401.9600196","16850834.3739399"
"2958","Albania","2042","Europe and central Asia","16756605.5376953","16759372.6685582","16758394.4661419","16760815.0742491"
"2959","Albania","2043","Europe and central Asia","16671758.8771245","16674503.0388419","16673531.3847362","16675940.3681248"
"2960","Albania","2044","Europe and central Asia","16551022.0638788","16553733.9510638","16552772.0027419","16555161.5671182"
"2962","Albania","2045","Europe and central Asia","16418326.0404324","16421003.3918817","16420051.8500375","16422420.1763808"
"2963","Albania","2046","Europe and central Asia","16267988.380669","16270624.0636585","16269685.3457265","16272025.8794067"
"2964","Albania","2047","Europe and central Asia","16072348.1893886","16074615.1983607","16073785.8977103","16075867.5813762"
"2965","Albania","2048","Europe and central Asia","15866624.8982798","15868597.6766927","15867861.1426831","15869695.6210164"
"2966","Albania","2049","Europe and central Asia","15628954.464669","15630888.2382227","15630165.2941647","15631968.7099894"
"2967","Albania","2050","Europe and central Asia","15364442.4765086","15366251.3137699","15365568.2880558","15367282.2578941"
"2968","Algeria","2020","Middle East and north Africa","119807890.281008","119807890.281008","119807890.281008","119807890.281008"
"2969","Algeria","2021","Middle East and north Africa","120863614.689515","120872934.311074","120869251.44263","120877727.274197"
"2970","Algeria","2022","Middle East and north Africa","121757136.429123","121771519.114938","121766083.272332","121778305.527729"
"2972","Algeria","2023","Middle East and north Africa","122481543.777345","122499266.549307","122492607.257684","122507559.091889"
"2973","Algeria","2024","Middle East and north Africa","122932442.858517","122952657.710314","122945003.786958","122962235.23713"
"2974","Algeria","2025","Middle East and north Africa","123259502.421482","123281715.987382","123273238.281764","123292379.052728"
"2975","Algeria","2026","Middle East and north Africa","123460304.637572","123484045.21629","123474945.930215","123495542.774218"
"2976","Algeria","2027","Middle East and north Africa","123560470.1586","123585255.19218","123575751.042288","123597306.887432"
"2977","Algeria","2028","Middle East and north Africa","123585075.094628","123610416.215358","123600709.150192","123622758.1413"
"2978","Algeria","2029","Middle East and north Africa","123523033.227602","123548531.099882","123538781.581522","123560945.433783"
"2979","Algeria","2030","Middle East and north Africa","123482207.068362","123507507.30286","123497842.878266","123519819.200291"
"2980","Algeria","2031","Middle East and north Africa","123479142.598646","123504085.670841","123494562.729299","123516218.41041"
"2982","Algeria","2032","Middle East and north Africa","123546777.566555","123571291.857137","123561934.563462","123583213.61631"
"2983","Algeria","2033","Middle East and north Africa","123743442.869862","123767507.659415","123758322.496554","123779211.052737"
"2984","Algeria","2034","Middle East and north Africa","124068573.346075","124092166.680985","124083160.339511","124103644.215041"
"2985","Algeria","2035","Middle East and north Africa","124582452.022661","124605577.939942","124596748.489026","124616833.492057"
"2986","Algeria","2036","Middle East and north Africa","125292414.587479","125315077.735052","125306423.32296","125326115.506324"
"2987","Algeria","2037","Middle East and north Africa","126213154.603401","126235367.520501","126226883.502731","126246195.215051"
"2988","Algeria","2038","Middle East and north Africa","127396367.817459","127418152.822966","127409830.921214","127428783.842176"
"2989","Algeria","2039","Middle East and north Africa","128799479.846603","128820853.966606","128812688.750905","128831298.646601"
"2990","Algeria","2040","Middle East and north Africa","130401296.379624","130422290.282013","130414270.825233","130432563.872522"
"2992","Algeria","2041","Middle East and north Africa","132179805.409782","132200451.575233","132192564.691322","132210565.995498"
"2993","Algeria","2042","Middle East and north Africa","134094868.854069","134115197.684346","134107432.102328","134125166.206087"
"2994","Algeria","2043","Middle East and north Africa","136129917.59951","136149965.020104","136142307.954775","136159804.128547"
