"","location","year","region","hc_sq","hc_cf","hc_cf_lower","hc_cf_upper","sav_rate","gdp_sq","cs_sq","capital_share","tech_level","tc_share","he_pc","pop","tc"
"1","Albania",2020,"Europe and central Asia",15931250.1843679,15931250.1843679,15931250.1843679,15931250.1843679,17.519504887527,37682192114,219599622319.98,0.516049904761905,23.4764334077738,3.19588927981487,1044.568617,2872130,95881052.3506492
"2","Albania",2021,"Europe and central Asia",16029813.5654678,16031407.7507297,16030761.0235213,16032484.2871323,17.519504887527,41039298609.4363,215221374693.12,0.516049904761905,25.7363117809516,3.18942038433673,1052.49348469236,2861567,96058345.1377534
"3","Albania",2022,"Europe and central Asia",16096015.6904284,16098523.4416147,16097567.530736,16100015.0148586,17.519504887527,43027242234.0774,211650187884.151,0.516049904761905,27.1445687334821,3.1829645827442,1060.47847627407,2847853,96128293.5333749
"4","Albania",2023,"Europe and central Asia",16157539.0275157,16160520.4774402,16159435.6725441,16162148.6419517,17.519504887527,44579234861.4606,208605838296.111,0.516049904761905,28.2658565034557,3.17652184853358,1068.52404788928,2836789,96286008.0996491
"5","Albania",2024,"Europe and central Asia",16219218.3239189,16222422.0038691,16221293.3447969,16224085.9638526,17.519504887527,46063723382.3472,205985607611.681,0.516049904761905,29.3286013226605,3.17009215525476,1076.63065914279,2828089,96523198.1265942
"6","Albania",2025,"Europe and central Asia",16311187.1995204,16314489.381521,16313343.280802,16316175.7583223,17.519504887527,47643248457.1279,203756463500.444,0.516049904761905,30.4055831004881,3.16367547651122,1084.79877312629,2823951,96916622.3636876
"7","Albania",2026,"Europe and central Asia",16412936.3482392,16416288.8023716,16415127.8950399,16418004.1431095,17.519504887527,49287416961.3834,201915501567.445,0.516049904761905,31.4921222293436,3.15727178595987,1093.02885644486,2819302,97293806.6809474
"8","Albania",2027,"Europe and central Asia",16488048.4003318,16491424.4640205,16490252.3837543,16493162.7458071,17.519504887527,50995718833.2649,200454637912.558,0.516049904761905,32.6213882899932,3.15088105731088,1101.32137924354,2814087,97652552.4018452
"9","Albania",2028,"Europe and central Asia",16569680.4508361,16573061.7866023,16571884.4764799,16574812.6057309,17.519504887527,52680331137.6644,199366103470.354,0.516049904761905,33.7019315736791,3.1445032643277,1109.67681523428,2808134,97986532.6616838
"10","Albania",2029,"Europe and central Asia",16632462.0688602,16635837.0260399,16634659.4763001,16637592.0201687,17.519504887527,54420593576.6451,198627131485.264,0.516049904761905,34.8098776230865,3.13813838082684,1118.09564172293,2801409,98294125.8386768
"11","Albania",2030,"Europe and central Asia",16714896.5877286,16718261.5503856,16717085.8856706,16720016.1946455,17.519504887527,56218344518.2818,198229993462.483,0.516049904761905,35.9029296692966,3.13178638067786,1126.57833963655,2793790,98570574.2358099
"12","Albania",2031,"Europe and central Asia",16797424.6808242,16800779.4020692,16799606.3526042,16802532.1764999,17.519504887527,58075483060.0115,198167669404.926,0.516049904761905,37.0004428497738,3.12544723780314,1135.12539355087,2785407,98819959.9867907
"13","Albania",2032,"Europe and central Asia",16851366.033277,16854703.9219312,16853536.2631704,16856449.562074,17.519504887527,59993971034.7907,198433823027.833,0.516049904761905,38.134763198899,3.11912092617789,1143.73729171795,2776087,99035652.2829552
"14","Albania",2033,"Europe and central Asia",16915130.1970807,16918238.7997535,16917157.1009343,16919843.6573449,17.519504887527,61975835083.5248,199022778564.103,0.516049904761905,39.2614653798514,3.11280741983003,1152.41452609411,2765827,99216976.5925494
"15","Albania",2034,"Europe and central Asia",16934778.3831683,16937647.146547,16936640.4653339,16939105.519368,17.519504887527,64023168795.9587,199929499092.442,0.516049904761905,40.445084079336,3.10650669284,1161.157592368,2754650,99364187.5718564
"16","Albania",2035,"Europe and central Asia",16965605.8645752,16968467.0668147,16967462.9900502,16969922.2736577,17.519504887527,66138134922.291,201149566324.177,0.516049904761905,41.6192463690346,3.10021871934069,1169.96698998893,2742554,99476645.1384663
"17","Albania",2036,"Europe and central Asia",16980397.9725966,16983250.9974545,16982249.5695568,16984703.8907551,17.519504887527,68322967657.847,202679161788.198,0.516049904761905,42.8175165672306,3.09394347351741,1178.84322219541,2729606,99556217.9548836
"18","Albania",2037,"Europe and central Asia",16961866.7404138,16964707.2334988,16963709.6641842,16966157.4830347,17.519504887527,70579975003.2248,204515049356.908,0.516049904761905,44.064184904287,3.08768092960768,1187.78679604389,2715695,99598294.4087078
"19","Albania",2038,"Europe and central Asia",16958947.2583653,16961778.9835894,16960783.7203893,16963229.1703791,17.519504887527,72911541202.4071,206654559059.368,0.516049904761905,45.295158015099,3.08143106190116,1196.7982224377,2700949,99606980.5791397
"20","Albania",2039,"Europe and central Asia",16927007.4300107,16929824.4288419,16928833.1921929,16931272.5071058,17.519504887527,75320129261.4147,209095572130.927,0.516049904761905,46.5715807452539,3.07519384473958,1205.8780161563,2685297,99579101.0041267
"21","Albania",2040,"Europe and central Asia",16899508.5834292,16902314.7307464,16901325.9683278,16903763.3578395,17.519504887527,77808283550.1621,211836507251.626,0.516049904761905,47.847906087289,3.06896925251658,1215.0266958846,2668867,99518836.330997
"22","Albania",2041,"Europe and central Asia",16846595.8156232,16849386.9009086,16848401.9600196,16850834.3739399,17.519504887527,80378632490.2639,214876307928.516,0.516049904761905,49.1683894836844,3.06275725967766,1224.24478424267,2651655,99425517.2090257
"23","Albania",2042,"Europe and central Asia",16756605.5376953,16759372.6685582,16758394.4661419,16760815.0742491,17.519504887527,83033891331.6312,218214430979.749,0.516049904761905,50.5546532548999,3.05655784072001,1233.53280781555,2633709,99300425.8907062
"24","Albania",2043,"Europe and central Asia",16671758.8771245,16674503.0388419,16673531.3847362,16675940.3681248,17.519504887527,85776865020.7911,221850836080.911,0.516049904761905,51.9445526016179,3.05037097019248,1242.89129718335,2614994,99141732.2858902
"25","Albania",2044,"Europe and central Asia",16551022.0638788,16553733.9510638,16552772.0027419,16555161.5671182,17.519504887527,88610451163.9594,225785976336.55,0.516049904761905,53.4057921296862,3.0441966226954,1252.32078695154,2595657,98954509.8102542
"26","Albania",2045,"Europe and central Asia",16418326.0404324,16421003.3918817,16420051.8500375,16422420.1763808,17.519504887527,91537643087.9965,230020789842.252,0.516049904761905,54.9037086629201,3.03803477288053,1261.8218157815,2575704,98738545.3014453
"27","Albania",2046,"Europe and central Asia",16267988.380669,16270624.0636585,16269685.3457265,16272025.8794067,17.519504887527,94561533002.4805,234556692204.868,0.516049904761905,56.4512855521716,3.03188539545094,1271.3949264213,2555136,98493433.1960205
"28","Albania",2047,"Europe and central Asia",16072348.1893886,16074615.1983607,16073785.8977103,16075867.5813762,17.519504887527,97685315266.2369,239395569990.715,0.516049904761905,58.1043175120946,3.0257484651609,1281.0406657367,2534026,98221554.8133882
"29","Albania",2048,"Europe and central Asia",15866624.8982798,15868597.6766927,15867861.1426831,15869695.6210164,17.519504887527,100912289761.776,244539775073.643,0.516049904761905,59.8056015122984,3.01962395681577,1290.75958474238,2512440,97925076.6198756
"30","Albania",2049,"Europe and central Asia",15628954.464669,15630888.2382227,15630165.2941647,15631968.7099894,17.519504887527,104245865381.205,249992119856.891,0.516049904761905,61.6033681983089,3.01351184527194,1300.55223863344,2490392,97604179.8352081
"31","Albania",2050,"Europe and central Asia",15364442.4765086,15366251.3137699,15365568.2880558,15367282.2578941,17.519504887527,107689563627.29,255755873344.551,0.516049904761905,63.4971175064931,3.00741210543665,1310.41918681706,2467908,97259526.8796667
"32","Algeria",2020,"Middle East and north Africa",119807890.281008,119807890.281008,119807890.281008,119807890.281008,42.5352876562865,4.71e+11,2387316479651.74,0.516049904761905,32.6458930689552,1.44095567752266,706.2013654,43090987,438495980.927663
"33","Algeria",2021,"Middle East and north Africa",120863614.689515,120872934.311074,120869251.44263,120877727.274197,42.5352876562865,4.87014e+11,2468291860530.27,0.516049904761905,33.0652728285804,1.44506850035167,725.788503004883,43812345,459510053.48216
